Date,Facets,Value,Units
19-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",23.634479999999996,mn. transactions
20-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",25.692399999999996,mn. transactions
21-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",54.42902,mn. transactions
22-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.49864,mn. transactions
23-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.35252,mn. transactions
24-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",27.753749999999997,mn. transactions
25-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",28.23484,mn. transactions
26-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",27.23992,mn. transactions
27-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",27.66225,mn. transactions
28-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",48.6345,mn. transactions
29-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.47173,mn. transactions
30-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",27.46167,mn. transactions
31-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",27.17281,mn. transactions
01-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",624.4106193,Rs. '000
02-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",1115.8437614999998,Rs. '000
03-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",884.0216358,Rs. '000
04-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",946.4936281,Rs. '000
05-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",801.1238639,Rs. '000
06-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",820.8070773,Rs. '000
07-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",1697.7643057999999,Rs. '000
08-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",978.3722617999999,Rs. '000
09-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",972.2794933999999,Rs. '000
10-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",923.9724854,Rs. '000
11-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",911.4411226000001,Rs. '000
12-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",824.616962,Rs. '000
13-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",764.896298,Rs. '000
14-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",1522.9170514,Rs. '000
15-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",881.9056033,Rs. '000
16-03-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",904.7772583999999,Rs. '000
